time,V(101),V(102),V(103),V(104),V(107),V(106),V(108),V(110),V(114),V(111),V(115),V(129),V(109),V(139),V(149),V(154),V(164),V(112),V(212),V(113),V(213)
4.45e-09,3,2.86461,2.86362,1.00639,0.464487,1.00091,0.470956,0.600369,0.00279585,0.588012,0.00240859,0.00273367,0.00212935,0.00266573,0.00351745,1.01885,1,0.6,0,0.587556,-0.00876306
4.5e-09,3,2.82637,2.83212,1.174,0.549833,1.00193,0.558215,0.600829,0.00277786,0.58552,0.00242347,0.00269125,0.00208173,0.0026071,0.00343618,1.18541,1,0.6,0,0.584612,-0.00951056
4.55e-09,3,2.78259,2.79716,1.3282,0.671678,1.0032,0.682533,0.601197,0.0028379,0.583641,0.00253249,0.00275067,0.00213591,0.00265399,0.00336258,1.33725,1,0.6,0,0.582374,-0.00992115
4.6e-09,3,2.75875,2.77886,1.45614,0.795544,1.00403,0.80799,0.601224,0.00294168,0.582241,0.00270207,0.00289152,0.00227376,0.00278675,0.00330095,1.46231,1,0.6,0,0.580971,-0.00998027
4.65e-09,3,2.75782,2.78101,1.54736,0.896431,1.00403,0.910143,0.601,0.00310127,0.581515,0.00294411,0.00309213,0.00247381,0.0029844,0.00325413,1.55065,1,0.6,0,0.580491,-0.00968583
4.7e-09,3,2.77378,2.7982,1.59469,0.961639,1.0033,0.97637,0.600646,0.00330902,0.58162,0.00324341,0.00333387,0.00271705,0.00322853,0.00322373,1.59527,1,0.6,0,0.580971,-0.00904827
4.75e-09,3,2.80038,2.8245,1.59456,0.985173,1.00206,1.00064,0.600231,0.00354663,0.582611,0.00357674,0.00359994,0.00298632,0.00350226,0.0032103,1.59261,1,0.6,0,0.582399,-0.00809019
4.8e-09,3,2.83252,2.85504,1.5471,0.96572,1.00055,0.981559,0.599802,0.00379931,0.584472,0.00392436,0.00387552,0.00326647,0.00379045,0.00321348,1.5429,1,0.6,0,0.584711,-0.00684549
4.85e-09,3,2.8661,2.88589,1.45616,0.905836,0.998968,0.921586,0.599397,0.00405543,0.587132,0.00426965,0.00414814,0.00354465,0.00408001,0.00323222,1.45007,1,0.6,0,0.587796,-0.00535828
4.9e-09,3,2.89776,2.91393,1.329,0.81133,0.997469,0.826343,0.599049,0.00430561,0.590471,0.00459845,0.00440779,0.00381043,0.00436009,0.00326495,1.3215,1,0.6,0,0.591501,-0.00368125
4.95e-09,3,2.9249,2.93692,1.17573,0.690454,0.996186,0.703743,0.598784,0.00454195,0.594324,0.00489863,0.00464655,0.00405547,0.00462174,0.0033097,1.1674,1,0.6,0,0.595639,-0.00187382
5e-09,3,2.94374,2.94925,1.00858,0.558689,0.995277,0.567039,0.598672,0.00476831,0.598536,0.00516812,0.00486157,0.00427609,0.0048608,0.0033644,1,1,0.6,0,0.6,-6.61217e-09
5.05e-09,3,2.92408,2.9252,0.841417,0.470745,0.99542,0.472726,0.5991,0.00505425,0.60331,0.00548269,0.00507999,0.00449605,0.00510351,0.00342845,0.832606,1,0.6,0,0.604361,0.00187381
5.1e-09,3,2.88416,2.88742,0.687494,0.430105,0.996568,0.426545,0.599572,0.00530147,0.607932,0.00574207,0.00529866,0.00471455,0.00534579,0.00350125,0.678504,1,0.6,0,0.608499,0.00368124
5.15e-09,3,2.85133,2.85948,0.558309,0.414339,0.997911,0.406509,0.599824,0.0054913,0.61191,0.00592024,0.00549342,0.00490945,0.00556216,0.00358096,0.549934,1,0.6,0,0.612204,0.00535826
5.2e-09,3,2.83201,2.84549,0.463735,0.409903,0.998955,0.398667,0.59994,0.00563699,0.615132,0.00602953,0.00564203,0.00505836,0.0057291,0.00366459,0.457104,1,0.6,0,0.615289,0.00684546
5.25e-09,3,2.82413,2.8424,0.411307,0.410395,0.99964,0.396411,0.59999,0.00572411,0.617515,0.00605828,0.00572651,0.00514298,0.00582756,0.00374827,0.407388,1,0.6,0,0.617601,0.00809016
5.3e-09,3,2.82413,2.84621,0.405328,0.412983,1.00005,0.396901,0.600011,0.00573707,0.618988,0.00599451,0.00573357,0.00514983,0.00584347,0.00382759,0.404732,1,0.6,0,0.619028,0.00904815
5.35e-09,3,2.82904,2.85376,0.446396,0.41637,1.00029,0.39891,0.600018,0.00566623,0.619501,0.00583319,0.00565536,0.00507097,0.0057685,0.00389797,0.449347,1,0.6,0,0.619509,0.00968582
5.4e-09,3,2.83671,2.86281,0.531333,0.419869,1.0004,0.401838,0.600018,0.00550874,0.619049,0.00557711,0.0054902,0.00490469,0.0056008,0.00395495,0.537691,1,0.6,0,0.619029,0.00998027
5.45e-09,3,2.84559,2.87177,0.653438,0.423041,1.00044,0.405302,0.600014,0.00526864,0.61767,0.00523656,0.00524295,0.00465591,0.00534548,0.00399463,0.662749,1,0.6,0,0.617626,0.00992115
5.5e-09,3,2.8546,2.87936,0.803039,0.425558,1.00041,0.40908,0.600007,0.00495663,0.615451,0.00482858,0.00492499,0.00433604,0.00501446,0.00401395,0.814589,1,0.6,0,0.615388,0.00951057
5.55e-09,3,2.85031,2.86216,0.968642,0.453221,1.00071,0.442175,0.600254,0.00464171,0.612809,0.00443511,0.00457335,0.0039803,0.00464607,0.00401205,0.981153,1,0.6,0,0.612444,0.00876307
5.6e-09,3,2.82323,2.82376,1.13742,0.528429,1.00164,0.520874,0.600725,0.00433807,0.609787,0.00405546,0.00422667,0.00362694,0.00427927,0.00399025,1.14921,1,0.6,0,0.608958,0.00770514
5.65e-09,3,2.78689,2.78087,1.29578,0.644139,1.00293,0.638653,0.601131,0.00403107,0.606349,0.00369197,0.00390686,0.00329967,0.00393729,0.00395116,1.30542,1,0.6,0,0.605121,0.00637424
5.7e-09,3,2.76098,2.75517,1.43058,0.770104,1.00393,0.767257,0.601239,0.00371747,0.602481,0.00334231,0.00361713,0.00300392,0.0036246,0.00389754,1.43738,1,0.6,0,0.601136,0.00481754
5.75e-09,3,2.75641,2.7539,1.53074,0.877246,1.00416,0.87716,0.601057,0.00341699,0.598375,0.0030253,0.00335532,0.00273841,0.0033402,0.00383193,1.5346,1,0.6,0,0.597212,0.00309018
5.8e-09,3,2.76925,2.77112,1.58829,0.950796,1.0036,0.953585,0.600725,0.00315259,0.594375,0.00276764,0.00312495,0.00250639,0.0030889,0.0037569,1.58937,1,0.6,0,0.593548,0.00125334
5.85e-09,3,2.79363,2.79993,1.59885,0.983513,1.00247,0.989339,0.600318,0.00292895,0.590737,0.00257228,0.00293214,0.00231376,0.00287794,0.00367522,1.59734,1,0.6,0,0.590324,-0.000627883
5.9e-09,3,2.82446,2.83464,1.56172,0.973121,1.00103,0.982224,0.599888,0.00275288,0.587665,0.00244266,0.00278397,0.00216746,0.00271527,0.00358987,1.55787,1,0.6,0,0.58769,-0.00248688
5.95e-09,3,2.85757,2.87074,1.47995,0.921354,0.999461,0.934095,0.599474,0.00263262,0.585312,0.00238284,0.00268758,0.00207436,0.00260863,0.00350409,1.47409,1,0.6,0,0.585762,-0.00425778
6e-09,3,2.88953,2.90452,1.36007,0.833335,0.997949,0.850286,0.599112,0.00257564,0.583789,0.00239567,0.00264924,0.00204044,0.00256458,0.00342124,1.35267,1,0.6,0,0.584612,-0.00587785
6.05e-09,3,2.91761,2.93307,1.21163,0.716824,0.99663,0.738898,0.598826,0.00258716,0.583152,0.00248184,0.00267344,0.00206982,0.00258761,0.00334475,1.20324,1,0.6,0,0.584267,-0.00728968
6.1e-09,3,2.94046,2.95282,1.04643,0.582731,0.995618,0.60973,0.598648,0.0026716,0.583402,0.00263935,0.00276254,0.00216437,0.00267974,0.00327793,1.03767,1,0.6,0,0.584711,-0.00844328
6.15e-09,3,2.93998,2.93301,0.878063,0.482,0.995484,0.506933,0.598974,0.00290134,0.584817,0.00292658,0.00294073,0.00234494,0.00286405,0.00322512,0.869115,1,0.6,0,0.585885,-0.00929776
